# Forces      
# CofR        : (0.000000e+00 0.000000e+00 2.000000e-01)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (1.742135e-04 4.371996e+00 1.133960e-01)) ((0.000000e+00 0.000000e+00 0.000000e+00) (8.264599e-01 2.127576e-05 -4.170940e-04))
1             	((-2.296335e+01 1.106146e+04 1.267988e+04) (8.699856e-04 4.558592e+00 1.685012e-01)) ((-1.536844e+02 9.932702e+00 7.284879e+00) (8.787665e-01 2.230460e-04 -1.146678e-03))
