# Forces      
# CofR        : (0.000000e+00 0.000000e+00 2.000000e-01)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (1.083205e-04 4.449904e+00 1.773606e-01)) ((0.000000e+00 0.000000e+00 0.000000e+00) (7.874755e-01 6.196694e-05 -3.144796e-04))
1             	((-2.968127e+01 1.799935e+04 1.653718e+04) (1.377541e-03 4.634978e+00 2.176244e-01)) ((1.159821e+02 1.451855e+01 1.206028e+01) (8.379793e-01 3.930588e-05 -1.441574e-03))
