# Forces      
# CofR        : (0.000000e+00 0.000000e+00 2.000000e-01)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (-1.313403e-04 4.420328e+00 1.607038e-01)) ((0.000000e+00 0.000000e+00 0.000000e+00) (9.689823e-01 9.477478e-05 -3.469006e-04))
1             	((2.082100e+01 1.020189e+04 1.074304e+04) (-8.632672e-04 4.493250e+00 1.834103e-01)) ((4.293747e+03 -1.233077e+00 6.356729e+00) (9.752502e-01 3.742629e-04 -1.248456e-03))
