# Forces      
# CofR        : (0.000000e+00 0.000000e+00 2.000000e-01)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (-2.459574e-04 4.666527e+00 -1.391641e-01)) ((0.000000e+00 0.000000e+00 0.000000e+00) (7.211717e-01 5.126613e-04 -4.527966e-04))
1             	((-2.015010e+01 2.584528e+04 -8.023655e+03) (6.476792e-04 4.818596e+00 -1.281669e-01)) ((1.605892e+03 2.552442e+01 -1.025391e+00) (7.581196e-01 -8.315002e-04 -7.094315e-04))
